tid,pref_name,accession,organism,chembl_id,standard_value,standard_units,standard_type,chembl_id,smiles_processed
17019,Cyclooxygenase-1,O62664,Bos_taurus,CHEMBL2860,3,nM,IC50,CHEMBL473946,COC1C=CC(C2=C(SN=C2)C2C=CC(OC)=CC=2)=CC=1
17019,Cyclooxygenase-1,O62664,Bos_taurus,CHEMBL2860,10,nM,IC50,CHEMBL514950,CC1C=CC(C2=C(SN=C2)C2C=CC(OC)=CC=2)=CC=1
17019,Cyclooxygenase-1,O62664,Bos_taurus,CHEMBL2860,40,nM,IC50,CHEMBL524133,CC1C=CC(C2=C(SN=C2)C2C=CC(Cl)=CC=2)=CC=1
17019,Cyclooxygenase-1,O62664,Bos_taurus,CHEMBL2860,200,nM,IC50,CHEMBL490889,CC1C=CC(C2SN=CC=2C2C=CC(Cl)=CC=2)=CC=1
17019,Cyclooxygenase-1,O62664,Bos_taurus,CHEMBL2860,100,nM,IC50,CHEMBL491088,C1=C(C2=C(SN=C2)C2C=CC(Cl)=CC=2)C=CC(Cl)=C1
17019,Cyclooxygenase-1,O62664,Bos_taurus,CHEMBL2860,70,nM,IC50,CHEMBL491089,COC1C=CC(C2=C(SN=C2)C2C=CC(Cl)=CC=2)=CC=1
17019,Cyclooxygenase-1,O62664,Bos_taurus,CHEMBL2860,20,nM,IC50,CHEMBL522624,COC1C=CC(C2SN=CC=2C2C=CC(Cl)=CC=2)=CC=1
17019,Cyclooxygenase-1,O62664,Bos_taurus,CHEMBL2860,50000,nM,IC50,CHEMBL171646,CS(=O)(=O)C1C=CC(C2SN=CC=2C2C=CC(F)=CC=2)=CC=1
17019,Cyclooxygenase-1,O62664,Bos_taurus,CHEMBL2860,1000,nM,IC50,CHEMBL491090,C1=C(C2=C(SN=C2)C2C=CC(O)=CC=2)C=CC(O)=C1
17019,Cyclooxygenase-1,O62664,Bos_taurus,CHEMBL2860,7000,nM,IC50,CHEMBL491477,CC1C=CC(C2C(SSC=2C2C=CC(S(=O)(=O)C)=CC=2)=S)=CC=1
17019,Cyclooxygenase-1,O62664,Bos_taurus,CHEMBL2860,2000,nM,IC50,CHEMBL489898,CC1C=CC(C2C(SSC=2C2C=CC(Cl)=CC=2)=S)=CC=1
17019,Cyclooxygenase-1,O62664,Bos_taurus,CHEMBL2860,6,nM,IC50,CHEMBL522267,CC1C=CC(C2SSC(=S)C=2C2C=CC(Cl)=CC=2)=CC=1
17019,Cyclooxygenase-1,O62664,Bos_taurus,CHEMBL2860,30,nM,IC50,CHEMBL489899,COC1C=CC(C2C(SSC=2C2C=CC(OC)=CC=2)=S)=CC=1
17019,Cyclooxygenase-1,O62664,Bos_taurus,CHEMBL2860,20000,nM,IC50,CHEMBL472721,CS(=O)(=O)C1C=CC(C2C(SSC=2C2C=CC=CC=2)=S)=CC=1
17019,Cyclooxygenase-1,O62664,Bos_taurus,CHEMBL2860,600,nM,IC50,CHEMBL515547,CC1C=CC(C2SSC(=S)C=2C2C=CC(S(=O)(=O)C)=CC=2)=CC=1
17019,Cyclooxygenase-1,O62664,Bos_taurus,CHEMBL2860,20000,nM,IC50,CHEMBL472722,C1=C(C2C(SSC=2C2C=CC(O)=CC=2)=S)C=CC(O)=C1
17019,Cyclooxygenase-1,O62664,Bos_taurus,CHEMBL2860,8000,nM,IC50,CHEMBL475347,CS(=O)(=O)C1C=CC(C2SSC(=O)C=2C2C=CC=CC=2)=CC=1
17019,Cyclooxygenase-1,O62664,Bos_taurus,CHEMBL2860,200,nM,IC50,CHEMBL475545,CC1C=CC(C2C(SSC=2C2C=CC(Cl)=CC=2)=O)=CC=1
17019,Cyclooxygenase-1,O62664,Bos_taurus,CHEMBL2860,20,nM,IC50,CHEMBL504541,CC1C=CC(C2SSC(=O)C=2C2C=CC(Cl)=CC=2)=CC=1
17019,Cyclooxygenase-1,O62664,Bos_taurus,CHEMBL2860,0.3,nM,IC50,CHEMBL490292,COC1C=CC(C2C(SSC=2C2C=CC(OC)=CC=2)=O)=CC=1
17019,Cyclooxygenase-1,O62664,Bos_taurus,CHEMBL2860,8000,nM,IC50,CHEMBL491272,CS(=O)(=O)C1C=CC(C2C(SSC=2C2C=CC=CC=2)=O)=CC=1
17019,Cyclooxygenase-1,O62664,Bos_taurus,CHEMBL2860,8000,nM,IC50,CHEMBL118,CC1C=CC(C2N(N=C(C(F)(F)F)C=2)C2C=CC(S(=O)(=O)N)=CC=2)=CC=1
17019,Cyclooxygenase-1,O62664,Bos_taurus,CHEMBL2860,3,nM,IC50,CHEMBL139,C1C=C(C(NC2C(Cl)=CC=CC=2Cl)=CC=1)CC(O)=O
